entityid,Name,Phone,InPhoneBook,Denomination,Full_Address,Municipality,PostalCode,NBH_ID,NBH_MUNICIPALITY,Long,Lat
,St. Martin of Tours Roman Catholic Church,905-957-3973,Yes,Roman Catholic,166 West Street ,Township of West Lincoln,L0R2A0,WL1,West Lincoln,-79.5502198339857,43.1002268238263
,Christ Lutheran Church,905-685-8294,Yes,Lutheran,134-140 Russell Avenue ,City of St. Catharines,L2R1W1,ST11,St. Catharines,-79.2445668444849,43.1699667412415
,Jehovah's Witnesses Kingdom Hall,Not Available,No,Jehovah's Witnesses,360 Killaly Street East,City of Port Colborne,L3K1P4,PC2,Port Colborne,-79.2357344177913,42.8920185725595
,Life Abundant Fellowship Church,905-688-3958,Yes,Non-Denominational,384 Concession 7 Road ,Town of Niagara-on-the-Lake,L0S1J0,NOTL4,Niagara-on-the-Lake,-79.145483540437,43.1642477914121
,Caistorville United Church,905-692-9990,Yes,United,9550 York Road ,Township of West Lincoln,L0R2J0,WL2,West Lincoln,-79.7175700668312,43.0498572378491
,Italian Christian Church,905-354-3250,No,Italian Christian,5489 Desson Avenue ,City of Niagara Falls,L2G3S9,NF3,Niagara Falls,-79.0832460882214,43.0948875191612
,Seventh Day Adventist Church,905-358-9728,Yes,Seventh-Day Adventist,5355 Belmont Avenue ,City of Niagara Falls,L2G5T4,NF5,Niagara Falls,-79.1208741971171,43.0951000918268
,New Apostolic Church,905-371-8643,No,New Apostolic,5864 Church's Lane ,City of Niagara Falls,L2J1Y7,NF1,Niagara Falls,-79.0932781770099,43.1300422523669
,All Saints Church,905-735-0061,Yes,Anglican,80 Forks Road ,City of Welland,L3B5K5,WD5,Welland,-79.2427045342001,42.9476071433974
,Ukrainian Orthodox Church,905-354-4901,Yes,Ukrainian Orthodox,5906 Sylvia Place ,City of Niagara Falls,L2G4C1,NF3,Niagara Falls,-79.090688543437,43.0890959586
,St. Johns Anglican Church,905-680-8942,Yes,Anglican,12 Carleton Street South,City of Thorold,L2V1R6,TH2,Thorold,-79.1973522931107,43.1238569858956
,The Church of Jesus Christ,905-871-9974,Yes,Baptist,245 High Street ,Town of Fort Erie,L2A3R4,FE4,Fort Erie,-78.9156044987333,42.9114212094871
,Eglise Sacre Coeur,905-735-5823,Yes,Roman Catholic,72 Empire Street ,City of Welland,L3B2L4,WD2,Welland,-79.2394036419487,42.9911867478174
